Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,8,0.000000,2.000000,2.000000,100.000000,,,100.000000,HARD,,
2,t02,Aperiodic,19,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
3,t03,Aperiodic,13,0.000000,0.300000,0.300000,20.000000,20.000000,40.000000,20.000000,HARD,,
4,t04,Periodic,18,0.000000,0.300000,0.300000,10.000000,,,10.000000,HARD,,
5,t05,Periodic,17,0.000000,0.500000,0.500000,10.000000,,,10.000000,HARD,,
6,t06,Periodic,9,0.000000,2.400000,2.400000,90.000000,,,90.000000,HARD,,
7,t07,Aperiodic,11,0.000000,0.300000,0.300000,40.000000,40.000000,80.000000,40.000000,HARD,,
8,t08,Aperiodic,16,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
9,t09,Periodic,7,0.000000,0.500000,0.500000,110.000000,,,110.000000,HARD,,
10,t10,Periodic,2,0.000000,27.600000,27.600000,470.000000,,,470.000000,HARD,,
11,t11,Periodic,1,0.000000,10.000000,10.000000,500.000000,,,500.000000,HARD,,
12,t12,Aperiodic,3,0.000000,31.400000,31.400000,380.000000,380.000000,480.000000,380.000000,HARD,,
13,t13,Periodic,15,0.000000,0.300000,0.300000,10.000000,,,10.000000,HARD,,
14,t14,Aperiodic,14,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
15,t15,Periodic,12,0.000000,2.800000,2.800000,30.000000,,,30.000000,HARD,,
16,t16,Periodic,5,0.000000,2.200000,2.200000,130.000000,,,130.000000,HARD,,
17,t17,Aperiodic,6,0.000000,0.500000,0.500000,120.000000,120.000000,200.000000,120.000000,HARD,,
18,t18,Periodic,0,0.000000,74.300000,74.300000,730.000000,,,730.000000,HARD,,
19,t19,Periodic,10,0.000000,0.200000,0.200000,40.000000,,,40.000000,HARD,,
20,t20,Aperiodic,4,0.000000,16.500000,16.500000,160.000000,160.000000,320.000000,160.000000,HARD,,

