Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,14,0.000000,0.400000,0.400000,10.000000,10.000000,20.000000,10.000000,HARD,,
2,t02,Aperiodic,13,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
3,t03,Aperiodic,12,0.000000,1.100000,1.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
4,t04,Periodic,0,0.000000,2.300000,2.300000,630.000000,,,630.000000,HARD,,
5,t05,Periodic,5,0.000000,3.700000,3.700000,80.000000,,,80.000000,HARD,,
6,t06,Periodic,9,0.000000,1.100000,1.100000,20.000000,,,20.000000,HARD,,
7,t07,Periodic,8,0.000000,0.900000,0.900000,20.000000,,,20.000000,HARD,,
8,t08,Aperiodic,6,0.000000,0.100000,0.100000,70.000000,70.000000,140.000000,70.000000,HARD,,
9,t09,Periodic,3,0.000000,41.100000,41.100000,270.000000,,,270.000000,HARD,,
10,t10,Periodic,1,0.000000,26.000000,26.000000,460.000000,,,460.000000,HARD,,
11,t11,Periodic,7,0.000000,0.500000,0.500000,20.000000,,,20.000000,HARD,,
12,t12,Periodic,2,0.000000,10.400000,10.400000,290.000000,,,290.000000,HARD,,
13,t13,Aperiodic,11,0.000000,0.300000,0.300000,10.000000,10.000000,20.000000,10.000000,HARD,,
14,t14,Aperiodic,4,0.000000,1.900000,1.900000,140.000000,140.000000,180.000000,140.000000,HARD,,
15,t15,Periodic,10,0.000000,0.800000,0.800000,10.000000,,,10.000000,HARD,,

