Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,10,0.000000,1.200000,1.200000,40.000000,40.000000,80.000000,40.000000,HARD,,
2,t02,Periodic,14,0.000000,1.200000,1.200000,10.000000,,,10.000000,HARD,,
3,t03,Periodic,12,0.000000,0.300000,0.300000,20.000000,,,20.000000,HARD,,
4,t04,Aperiodic,0,0.000000,7.700000,7.700000,810.000000,810.000000,1210.000000,810.000000,HARD,,
5,t05,Periodic,9,0.000000,5.400000,5.400000,40.000000,,,40.000000,HARD,,
6,t06,Periodic,1,0.000000,0.400000,0.400000,410.000000,,,410.000000,HARD,,
7,t07,Aperiodic,13,0.000000,1.100000,1.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
8,t08,Periodic,8,0.000000,0.900000,0.900000,50.000000,,,50.000000,HARD,,
9,t09,Periodic,7,0.000000,1.300000,1.300000,50.000000,,,50.000000,HARD,,
10,t10,Periodic,6,0.000000,0.500000,0.500000,50.000000,,,50.000000,HARD,,
11,t11,Aperiodic,5,0.000000,2.200000,2.200000,80.000000,80.000000,130.000000,80.000000,HARD,,
12,t12,Periodic,3,0.000000,3.600000,3.600000,360.000000,,,360.000000,HARD,,
13,t13,Periodic,4,0.000000,10.600000,10.600000,130.000000,,,130.000000,HARD,,
14,t14,Aperiodic,2,0.000000,4.900000,4.900000,370.000000,370.000000,610.000000,370.000000,HARD,,
15,t15,Aperiodic,11,0.000000,2.000000,2.000000,20.000000,20.000000,30.000000,20.000000,HARD,,

