Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,15,0.000000,1.900000,1.900000,30.000000,,,30.000000,HARD,,
2,t02,Periodic,13,0.000000,0.300000,0.300000,40.000000,,,40.000000,HARD,,
3,t03,Periodic,8,0.000000,0.100000,0.100000,80.000000,,,80.000000,HARD,,
4,t04,Aperiodic,6,0.000000,0.100000,0.100000,130.000000,130.000000,180.000000,130.000000,HARD,,
5,t05,Aperiodic,17,0.000000,0.800000,0.800000,20.000000,20.000000,30.000000,20.000000,HARD,,
6,t06,Periodic,19,0.000000,2.000000,2.000000,10.000000,,,10.000000,HARD,,
7,t07,Periodic,12,0.000000,0.600000,0.600000,40.000000,,,40.000000,HARD,,
8,t08,Periodic,1,0.000000,1.300000,1.300000,450.000000,,,450.000000,HARD,,
9,t09,Aperiodic,3,0.000000,4.200000,4.200000,320.000000,320.000000,410.000000,320.000000,HARD,,
10,t10,Periodic,5,0.000000,4.600000,4.600000,220.000000,,,220.000000,HARD,,
11,t11,Periodic,4,0.000000,5.500000,5.500000,240.000000,,,240.000000,HARD,,
12,t12,Aperiodic,10,0.000000,0.300000,0.300000,60.000000,60.000000,110.000000,60.000000,HARD,,
13,t13,Periodic,14,0.000000,3.000000,3.000000,30.000000,,,30.000000,HARD,,
14,t14,Periodic,2,0.000000,20.100000,20.100000,430.000000,,,430.000000,HARD,,
15,t15,Periodic,9,0.000000,1.800000,1.800000,60.000000,,,60.000000,HARD,,
16,t16,Periodic,16,0.000000,0.100000,0.100000,20.000000,,,20.000000,HARD,,
17,t17,Aperiodic,11,0.000000,1.200000,1.200000,40.000000,40.000000,80.000000,40.000000,HARD,,
18,t18,Periodic,7,0.000000,1.900000,1.900000,120.000000,,,120.000000,HARD,,
19,t19,Aperiodic,0,0.000000,32.700000,32.700000,610.000000,610.000000,730.000000,610.000000,HARD,,
20,t20,Aperiodic,18,0.000000,0.200000,0.200000,10.000000,10.000000,20.000000,10.000000,HARD,,

