Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,"t01",Periodic,16,0.000000,0.700000,0.700000,20.000000,,,20.000000,HARD,,
2,"t02",Periodic,19,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
3,"t03",Aperiodic,0,0.000000,16.000000,16.000000,960.000000,960.000000,1810.000000,960.000000,HARD,,
4,"t04",Aperiodic,9,0.000000,4.400000,4.400000,100.000000,100.000000,200.000000,100.000000,HARD,,
5,"t05",Periodic,15,0.000000,1.600000,1.600000,20.000000,,,20.000000,HARD,,
6,"t06",Periodic,4,0.000000,3.600000,3.600000,220.000000,,,220.000000,HARD,,
7,"t07",Periodic,14,0.000000,2.200000,2.200000,20.000000,,,20.000000,HARD,,
8,"t08",Aperiodic,8,0.000000,6.600000,6.600000,130.000000,130.000000,150.000000,130.000000,HARD,,
9,"t09",Periodic,5,0.000000,4.300000,4.300000,180.000000,,,180.000000,HARD,,
10,"t10",Aperiodic,1,0.000000,0.700000,0.700000,920.000000,920.000000,1410.000000,920.000000,HARD,,
11,"t11",Aperiodic,6,0.000000,14.300000,14.300000,150.000000,150.000000,180.000000,150.000000,HARD,,
12,"t12",Periodic,18,0.000000,0.500000,0.500000,10.000000,,,10.000000,HARD,,
13,"t13",Periodic,12,0.000000,1.500000,1.500000,50.000000,,,50.000000,HARD,,
14,"t14",Aperiodic,13,0.000000,0.300000,0.300000,30.000000,30.000000,60.000000,30.000000,HARD,,
15,"t15",Aperiodic,11,0.000000,0.200000,0.200000,80.000000,80.000000,110.000000,80.000000,HARD,,
16,"t16",Periodic,17,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
17,"t17",Periodic,2,0.000000,4.100000,4.100000,520.000000,,,520.000000,HARD,,
18,"t18",Aperiodic,7,0.000000,7.100000,7.100000,140.000000,140.000000,180.000000,140.000000,HARD,,
19,"t19",Periodic,10,0.000000,3.700000,3.700000,80.000000,,,80.000000,HARD,,
20,"t20",Periodic,3,0.000000,1.200000,1.200000,240.000000,,,240.000000,HARD,,

