Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,8,0.000000,0.800000,0.800000,50.000000,50.000000,210.000000,50.000000,HARD,,
2,t02,Periodic,10,0.000000,0.100000,0.100000,40.000000,,,40.000000,HARD,,
3,t03,Periodic,1,0.000000,50.100000,50.100000,540.000000,,,540.000000,HARD,,
4,t04,Periodic,9,0.000000,0.100000,0.100000,40.000000,,,40.000000,HARD,,
5,t05,Periodic,14,0.000000,0.100000,0.100000,30.000000,,,30.000000,HARD,,
6,t06,Periodic,6,0.000000,15.200000,15.200000,210.000000,,,210.000000,HARD,,
7,t07,Periodic,0,0.000000,4.900000,4.900000,650.000000,,,650.000000,HARD,,
8,t08,Aperiodic,19,0.000000,0.300000,0.300000,10.000000,10.000000,60.000000,10.000000,HARD,,
9,t09,Periodic,13,0.000000,2.000000,2.000000,30.000000,,,30.000000,HARD,,
10,t10,Aperiodic,4,0.000000,10.600000,10.600000,410.000000,410.000000,3590.000000,410.000000,HARD,,
11,t11,Aperiodic,12,0.000000,1.700000,1.700000,30.000000,30.000000,110.000000,30.000000,HARD,,
12,t12,Aperiodic,2,0.000000,56.000000,56.000000,440.000000,440.000000,870.000000,440.000000,HARD,,
13,t13,Aperiodic,11,0.000000,1.600000,1.600000,30.000000,30.000000,90.000000,30.000000,HARD,,
14,t14,Aperiodic,18,0.000000,0.100000,0.100000,10.000000,10.000000,70.000000,10.000000,HARD,,
15,t15,Periodic,17,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
16,t16,Aperiodic,16,0.000000,0.100000,0.100000,10.000000,10.000000,80.000000,10.000000,HARD,,
17,t17,Periodic,5,0.000000,14.500000,14.500000,400.000000,,,400.000000,HARD,,
18,t18,Periodic,7,0.000000,0.400000,0.400000,70.000000,,,70.000000,HARD,,
19,t19,Periodic,3,0.000000,19.200000,19.200000,430.000000,,,430.000000,HARD,,
20,t20,Periodic,15,0.000000,0.300000,0.300000,10.000000,,,10.000000,HARD,,

