Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,12,0.000000,1.100000,1.100000,150.000000,,,150.000000,HARD,,
2,t02,Periodic,7,0.000000,0.700000,0.700000,380.000000,,,380.000000,HARD,,
3,t03,Aperiodic,22,0.000000,0.300000,0.300000,20.000000,20.000000,30.000000,20.000000,HARD,,
4,t04,Periodic,2,0.000000,11.500000,11.500000,790.000000,,,790.000000,HARD,,
5,t05,Periodic,24,0.000000,0.400000,0.400000,10.000000,,,10.000000,HARD,,
6,t06,Periodic,21,0.000000,0.200000,0.200000,20.000000,,,20.000000,HARD,,
7,t07,Periodic,8,0.000000,2.300000,2.300000,330.000000,,,330.000000,HARD,,
8,t08,Aperiodic,1,0.000000,76.500000,76.500000,880.000000,880.000000,1280.000000,880.000000,HARD,,
9,t09,Periodic,9,0.000000,4.000000,4.000000,300.000000,,,300.000000,HARD,,
10,t10,Aperiodic,14,0.000000,1.000000,1.000000,110.000000,110.000000,210.000000,110.000000,HARD,,
11,t11,Periodic,11,0.000000,8.100000,8.100000,190.000000,,,190.000000,HARD,,
12,t12,Aperiodic,4,0.000000,6.900000,6.900000,590.000000,590.000000,960.000000,590.000000,HARD,,
13,t13,Aperiodic,13,0.000000,0.800000,0.800000,110.000000,110.000000,210.000000,110.000000,HARD,,
14,t14,Aperiodic,20,0.000000,1.100000,1.100000,20.000000,20.000000,30.000000,20.000000,HARD,,
15,t15,Aperiodic,19,0.000000,0.900000,0.900000,20.000000,20.000000,40.000000,20.000000,HARD,,
16,t16,Aperiodic,17,0.000000,1.100000,1.100000,40.000000,40.000000,70.000000,40.000000,HARD,,
17,t17,Periodic,15,0.000000,1.300000,1.300000,100.000000,,,100.000000,HARD,,
18,t18,Periodic,5,0.000000,1.600000,1.600000,570.000000,,,570.000000,HARD,,
19,t19,Periodic,16,0.000000,3.700000,3.700000,50.000000,,,50.000000,HARD,,
20,t20,Periodic,18,0.000000,3.200000,3.200000,30.000000,,,30.000000,HARD,,
21,t21,Aperiodic,3,0.000000,21.600000,21.600000,720.000000,720.000000,760.000000,720.000000,HARD,,
22,t22,Aperiodic,6,0.000000,0.100000,0.100000,410.000000,410.000000,670.000000,410.000000,HARD,,
23,t23,Periodic,0,0.000000,13.000000,13.000000,910.000000,,,910.000000,HARD,,
24,t24,Periodic,23,0.000000,0.300000,0.300000,10.000000,,,10.000000,HARD,,
25,t25,Periodic,10,0.000000,6.400000,6.400000,230.000000,,,230.000000,HARD,,

