Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,10,0.000000,6.400000,6.400000,170.000000,,,170.000000,HARD,,
2,t02,Periodic,14,0.000000,1.300000,1.300000,90.000000,,,90.000000,HARD,,
3,t03,Periodic,11,0.000000,2.800000,2.800000,150.000000,,,150.000000,HARD,,
4,t04,Aperiodic,19,0.000000,1.300000,1.300000,20.000000,20.000000,30.000000,20.000000,HARD,,
5,t05,Aperiodic,1,0.000000,4.300000,4.300000,890.000000,890.000000,1700.000000,890.000000,HARD,,
6,t06,Periodic,6,0.000000,22.300000,22.300000,250.000000,,,250.000000,HARD,,
7,t07,Aperiodic,13,0.000000,3.100000,3.100000,110.000000,110.000000,210.000000,110.000000,HARD,,
8,t08,Periodic,4,0.000000,16.200000,16.200000,490.000000,,,490.000000,HARD,,
9,t09,Periodic,7,0.000000,3.100000,3.100000,240.000000,,,240.000000,HARD,,
10,t10,Aperiodic,8,0.000000,18.700000,18.700000,230.000000,230.000000,360.000000,230.000000,HARD,,
11,t11,Periodic,18,0.000000,0.400000,0.400000,20.000000,,,20.000000,HARD,,
12,t12,Aperiodic,3,0.000000,15.600000,15.600000,520.000000,520.000000,550.000000,520.000000,HARD,,
13,t13,Aperiodic,0,0.000000,62.100000,62.100000,940.000000,940.000000,1710.000000,940.000000,HARD,,
14,t14,Aperiodic,12,0.000000,2.700000,2.700000,130.000000,130.000000,230.000000,130.000000,HARD,,
15,t15,Periodic,17,0.000000,0.200000,0.200000,20.000000,,,20.000000,HARD,,
16,t16,Aperiodic,16,0.000000,0.400000,0.400000,20.000000,20.000000,40.000000,20.000000,HARD,,
17,t17,Periodic,2,0.000000,33.700000,33.700000,560.000000,,,560.000000,HARD,,
18,t18,Periodic,5,0.000000,26.400000,26.400000,390.000000,,,390.000000,HARD,,
19,t19,Periodic,15,0.000000,0.300000,0.300000,60.000000,,,60.000000,HARD,,
20,t20,Periodic,9,0.000000,3.900000,3.900000,210.000000,,,210.000000,HARD,,

