Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,3,0.000000,14.600000,14.600000,810.000000,,,810.000000,HARD,,
2,t02,Periodic,14,0.000000,0.900000,0.900000,40.000000,,,40.000000,HARD,,
3,t03,Periodic,19,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
4,t04,Periodic,18,0.000000,1.100000,1.100000,10.000000,,,10.000000,HARD,,
5,t05,Periodic,10,0.000000,4.800000,4.800000,120.000000,,,120.000000,HARD,,
6,t06,Aperiodic,12,0.000000,2.000000,2.000000,60.000000,60.000000,90.000000,60.000000,HARD,,
7,t07,Aperiodic,1,0.000000,27.400000,27.400000,960.000000,960.000000,1080.000000,960.000000,HARD,,
8,t08,Aperiodic,2,0.000000,4.400000,4.400000,910.000000,910.000000,1360.000000,910.000000,HARD,,
9,t09,Aperiodic,11,0.000000,5.900000,5.900000,90.000000,90.000000,160.000000,90.000000,HARD,,
10,t10,Aperiodic,17,0.000000,0.300000,0.300000,10.000000,10.000000,20.000000,10.000000,HARD,,
11,t11,Periodic,7,0.000000,12.900000,12.900000,580.000000,,,580.000000,HARD,,
12,t12,Periodic,13,0.000000,1.500000,1.500000,40.000000,,,40.000000,HARD,,
13,t13,Periodic,5,0.000000,1.000000,1.000000,610.000000,,,610.000000,HARD,,
14,t14,Aperiodic,0,0.000000,4.600000,4.600000,990.000000,990.000000,1100.000000,990.000000,HARD,,
15,t15,Aperiodic,9,0.000000,9.700000,9.700000,130.000000,130.000000,250.000000,130.000000,HARD,,
16,t16,Periodic,16,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
17,t17,Aperiodic,6,0.000000,17.900000,17.900000,600.000000,600.000000,1140.000000,600.000000,HARD,,
18,t18,Periodic,15,0.000000,0.800000,0.800000,10.000000,,,10.000000,HARD,,
19,t19,Periodic,8,0.000000,16.200000,16.200000,510.000000,,,510.000000,HARD,,
20,t20,Periodic,4,0.000000,30.800000,30.800000,720.000000,,,720.000000,HARD,,

