Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,19,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
2,t02,Periodic,12,0.000000,0.200000,0.200000,40.000000,,,40.000000,HARD,,
3,t03,Aperiodic,5,0.000000,7.100000,7.100000,250.000000,250.000000,450.000000,250.000000,HARD,,
4,t04,Periodic,16,0.000000,1.100000,1.100000,20.000000,,,20.000000,HARD,,
5,t05,Periodic,6,0.000000,8.000000,8.000000,180.000000,,,180.000000,HARD,,
6,t06,Aperiodic,2,0.000000,8.900000,8.900000,590.000000,590.000000,1140.000000,590.000000,HARD,,
7,t07,Aperiodic,1,0.000000,40.500000,40.500000,630.000000,630.000000,980.000000,630.000000,HARD,,
8,t08,Aperiodic,15,0.000000,0.100000,0.100000,20.000000,20.000000,40.000000,20.000000,HARD,,
9,t09,Periodic,10,0.000000,1.100000,1.100000,80.000000,,,80.000000,HARD,,
10,t10,Periodic,7,0.000000,2.500000,2.500000,120.000000,,,120.000000,HARD,,
11,t11,Aperiodic,14,0.000000,0.800000,0.800000,30.000000,30.000000,40.000000,30.000000,HARD,,
12,t12,Periodic,4,0.000000,13.400000,13.400000,260.000000,,,260.000000,HARD,,
13,t13,Aperiodic,3,0.000000,29.400000,29.400000,530.000000,530.000000,580.000000,530.000000,HARD,,
14,t14,Periodic,0,0.000000,6.500000,6.500000,970.000000,,,970.000000,HARD,,
15,t15,Periodic,13,0.000000,3.000000,3.000000,30.000000,,,30.000000,HARD,,
16,t16,Periodic,18,0.000000,0.400000,0.400000,10.000000,,,10.000000,HARD,,
17,t17,Aperiodic,17,0.000000,0.500000,0.500000,10.000000,10.000000,20.000000,10.000000,HARD,,
18,t18,Periodic,8,0.000000,2.000000,2.000000,90.000000,,,90.000000,HARD,,
19,t19,Periodic,9,0.000000,5.000000,5.000000,80.000000,,,80.000000,HARD,,
20,t20,Periodic,11,0.000000,1.000000,1.000000,40.000000,,,40.000000,HARD,,

