Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,8,0.000000,4.800000,4.800000,30.000000,,,30.000000,HARD,,
2,t02,Periodic,3,0.000000,2.200000,2.200000,190.000000,,,190.000000,HARD,,
3,t03,Aperiodic,7,0.000000,0.800000,0.800000,30.000000,30.000000,50.000000,30.000000,HARD,,
4,t04,Aperiodic,2,0.000000,9.700000,9.700000,240.000000,240.000000,340.000000,240.000000,HARD,,
5,t05,Periodic,6,0.000000,14.300000,14.300000,100.000000,,,100.000000,HARD,,
6,t06,Aperiodic,5,0.000000,24.600000,24.600000,100.000000,100.000000,170.000000,100.000000,HARD,,
7,t07,Periodic,9,0.000000,0.100000,0.100000,20.000000,,,20.000000,HARD,,
8,t08,Aperiodic,1,0.000000,4.300000,4.300000,290.000000,290.000000,330.000000,290.000000,HARD,,
9,t09,Periodic,0,0.000000,13.400000,13.400000,740.000000,,,740.000000,HARD,,
10,t10,Periodic,4,0.000000,3.500000,3.500000,100.000000,,,100.000000,HARD,,

