Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,"t01",Aperiodic,16,0.000000,0.300000,0.300000,50.000000,50.000000,220.000000,50.000000,HARD,,
2,"t02",Periodic,19,0.000000,0.700000,0.700000,10.000000,,,10.000000,HARD,,
3,"t03",Periodic,1,0.000000,27.900000,27.900000,690.000000,,,690.000000,HARD,,
4,"t04",Aperiodic,13,0.000000,1.800000,1.800000,80.000000,80.000000,410.000000,80.000000,HARD,,
5,"t05",Periodic,4,0.000000,3.600000,3.600000,360.000000,,,360.000000,HARD,,
6,"t06",Aperiodic,17,0.000000,0.700000,0.700000,40.000000,40.000000,80.000000,40.000000,HARD,,
7,"t07",Periodic,8,0.000000,0.400000,0.400000,180.000000,,,180.000000,HARD,,
8,"t08",Aperiodic,9,0.000000,5.800000,5.800000,170.000000,170.000000,560.000000,170.000000,HARD,,
9,"t09",Periodic,12,0.000000,9.900000,9.900000,90.000000,,,90.000000,HARD,,
10,"t10",Periodic,6,0.000000,1.000000,1.000000,250.000000,,,250.000000,HARD,,
11,"t11",Periodic,2,0.000000,21.100000,21.100000,400.000000,,,400.000000,HARD,,
12,"t12",Periodic,0,0.000000,37.400000,37.400000,780.000000,,,780.000000,HARD,,
13,"t13",Periodic,5,0.000000,1.000000,1.000000,260.000000,,,260.000000,HARD,,
14,"t14",Aperiodic,15,0.000000,2.300000,2.300000,70.000000,70.000000,90.000000,70.000000,HARD,,
15,"t15",Periodic,7,0.000000,1.200000,1.200000,190.000000,,,190.000000,HARD,,
16,"t16",Aperiodic,14,0.000000,0.700000,0.700000,70.000000,70.000000,240.000000,70.000000,HARD,,
17,"t17",Aperiodic,10,0.000000,7.500000,7.500000,160.000000,160.000000,800.000000,160.000000,HARD,,
18,"t18",Periodic,11,0.000000,4.100000,4.100000,120.000000,,,120.000000,HARD,,
19,"t19",Periodic,18,0.000000,1.300000,1.300000,10.000000,,,10.000000,HARD,,
20,"t20",Aperiodic,3,0.000000,3.300000,3.300000,360.000000,360.000000,1290.000000,360.000000,HARD,,
