Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,14,0.000000,3.000000,3.000000,30.000000,,,30.000000,HARD,,
2,t02,Periodic,2,0.000000,1.900000,1.900000,900.000000,,,900.000000,HARD,,
3,t03,Periodic,8,0.000000,0.200000,0.200000,60.000000,,,60.000000,HARD,,
4,t04,Periodic,7,0.000000,1.500000,1.500000,60.000000,,,60.000000,HARD,,
5,t05,Periodic,15,0.000000,0.200000,0.200000,20.000000,,,20.000000,HARD,,
6,t06,Periodic,19,0.000000,0.400000,0.400000,10.000000,,,10.000000,HARD,,
7,t07,Periodic,11,0.000000,3.200000,3.200000,40.000000,,,40.000000,HARD,,
8,t08,Periodic,9,0.000000,1.200000,1.200000,50.000000,,,50.000000,HARD,,
9,t09,Periodic,18,0.000000,0.300000,0.300000,10.000000,,,10.000000,HARD,,
10,t10,Periodic,5,0.000000,19.500000,19.500000,190.000000,,,190.000000,HARD,,
11,t11,Periodic,10,0.000000,1.200000,1.200000,40.000000,,,40.000000,HARD,,
12,t12,Periodic,13,0.000000,0.300000,0.300000,30.000000,,,30.000000,HARD,,
13,t13,Aperiodic,4,0.000000,33.900000,33.900000,500.000000,500.000000,540.000000,500.000000,HARD,,
14,t14,Periodic,0,0.000000,3.900000,3.900000,950.000000,,,950.000000,HARD,,
15,t15,Periodic,17,0.000000,0.500000,0.500000,10.000000,,,10.000000,HARD,,
16,t16,Periodic,16,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
17,t17,Periodic,1,0.000000,0.600000,0.600000,900.000000,,,900.000000,HARD,,
18,t18,Periodic,12,0.000000,0.900000,0.900000,30.000000,,,30.000000,HARD,,
19,t19,Periodic,6,0.000000,4.100000,4.100000,90.000000,,,90.000000,HARD,,
20,t20,Periodic,3,0.000000,12.600000,12.600000,680.000000,,,680.000000,HARD,,

