Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,14,0.000000,2.800000,2.800000,40.000000,,,40.000000,HARD,,
2,t02,Periodic,1,0.000000,2.800000,2.800000,360.000000,,,360.000000,HARD,,
3,t03,Periodic,11,0.000000,6.300000,6.300000,80.000000,,,80.000000,HARD,,
4,t04,Periodic,15,0.000000,1.100000,1.100000,30.000000,,,30.000000,HARD,,
5,t05,Periodic,7,0.000000,2.800000,2.800000,130.000000,,,130.000000,HARD,,
6,t06,Aperiodic,16,0.000000,0.200000,0.200000,20.000000,20.000000,30.000000,20.000000,HARD,,
7,t07,Periodic,19,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
8,t08,Periodic,0,0.000000,10.100000,10.100000,660.000000,,,660.000000,HARD,,
9,t09,Aperiodic,13,0.000000,1.700000,1.700000,60.000000,60.000000,90.000000,60.000000,HARD,,
10,t10,Aperiodic,6,0.000000,1.200000,1.200000,140.000000,140.000000,240.000000,140.000000,HARD,,
11,t11,Aperiodic,12,0.000000,1.300000,1.300000,60.000000,60.000000,80.000000,60.000000,HARD,,
12,t12,Aperiodic,18,0.000000,0.800000,0.800000,10.000000,10.000000,20.000000,10.000000,HARD,,
13,t13,Aperiodic,10,0.000000,2.900000,2.900000,80.000000,80.000000,160.000000,80.000000,HARD,,
14,t14,Periodic,17,0.000000,0.600000,0.600000,10.000000,,,10.000000,HARD,,
15,t15,Aperiodic,4,0.000000,2.500000,2.500000,180.000000,180.000000,230.000000,180.000000,HARD,,
16,t16,Periodic,3,0.000000,9.900000,9.900000,190.000000,,,190.000000,HARD,,
17,t17,Periodic,8,0.000000,2.500000,2.500000,100.000000,,,100.000000,HARD,,
18,t18,Aperiodic,5,0.000000,13.900000,13.900000,160.000000,160.000000,290.000000,160.000000,HARD,,
19,t19,Periodic,2,0.000000,2.500000,2.500000,270.000000,,,270.000000,HARD,,
20,t20,Periodic,9,0.000000,2.400000,2.400000,90.000000,,,90.000000,HARD,,

