Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,9,0.000000,2.100000,2.100000,200.000000,,,200.000000,HARD,,
2,t02,Aperiodic,10,0.000000,7.000000,7.000000,150.000000,150.000000,240.000000,150.000000,HARD,,
3,t03,Aperiodic,11,0.000000,2.100000,2.100000,130.000000,130.000000,170.000000,130.000000,HARD,,
4,t04,Periodic,4,0.000000,17.400000,17.400000,460.000000,,,460.000000,HARD,,
5,t05,Periodic,19,0.000000,0.400000,0.400000,10.000000,,,10.000000,HARD,,
6,t06,Aperiodic,1,0.000000,24.800000,24.800000,590.000000,590.000000,650.000000,590.000000,HARD,,
7,t07,Periodic,17,0.000000,0.500000,0.500000,20.000000,,,20.000000,HARD,,
8,t08,Periodic,7,0.000000,45.700000,45.700000,330.000000,,,330.000000,HARD,,
9,t09,Periodic,16,0.000000,3.000000,3.000000,40.000000,,,40.000000,HARD,,
10,t10,Periodic,15,0.000000,0.600000,0.600000,40.000000,,,40.000000,HARD,,
11,t11,Aperiodic,6,0.000000,21.400000,21.400000,340.000000,340.000000,660.000000,340.000000,HARD,,
12,t12,Aperiodic,2,0.000000,21.800000,21.800000,550.000000,550.000000,1100.000000,550.000000,HARD,,
13,t13,Periodic,0,0.000000,12.700000,12.700000,820.000000,,,820.000000,HARD,,
14,t14,Aperiodic,5,0.000000,1.200000,1.200000,340.000000,340.000000,660.000000,340.000000,HARD,,
15,t15,Aperiodic,14,0.000000,1.400000,1.400000,40.000000,40.000000,50.000000,40.000000,HARD,,
16,t16,Aperiodic,13,0.000000,1.900000,1.900000,40.000000,40.000000,60.000000,40.000000,HARD,,
17,t17,Periodic,8,0.000000,2.100000,2.100000,200.000000,,,200.000000,HARD,,
18,t18,Periodic,3,0.000000,6.600000,6.600000,490.000000,,,490.000000,HARD,,
19,t19,Periodic,12,0.000000,0.200000,0.200000,90.000000,,,90.000000,HARD,,
20,t20,Periodic,18,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,

